,,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
,COVID-19: DILATED MYOPATHY: HISTORY OF MYOCARDITIS,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,COVID-19: PULMONARY FIBROSIS,,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
,ACUTE ALCOHOL-ASSOCIATED HEPATITIS WITH OR WITHOUT CIRRHOSIS,,240,1,0,2,6,0,13,2,8,2,6,4,2,7,0,1,1,4,2,3,20,7,8,5,1,0,3,0,2,0,3,0,0,0,0,17,0,0,0,1,4,0,3,5,0,0,0,0,47,5,12,1,21,6,5,0
,ALCOHOL-ASSOCIATED CIRRHOSIS WITHOUT ACUTE ALCOHOL-ASSOCIATED HEPATITIS,,"2,112",62,3,56,104,6,230,29,47,31,65,24,14,38,7,4,40,25,24,41,137,160,17,42,14,8,40,2,8,14,31,0,0,0,5,88,0,15,0,29,27,24,50,42,3,38,19,13,151,25,93,15,86,46,13,22
,COMBINED PULMONARY FIBROSIS AND EMPHYSEMA (CPFE),,45,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,2,0,5,0,0,1,0,0,2,0,3,0,0,2,0,3
,Biliary Hypoplasia: Alagille’s Syndrome (Paucity,,16,0,0,0,2,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
,CIRRHOSIS: METABOLIC DYSFUNCTION - ASSOCIATED STEATOHEPATITIS (MASH),,"1,114",40,9,34,40,1,77,10,24,8,47,19,7,29,4,2,34,20,27,30,30,34,10,17,10,13,32,4,5,4,9,0,0,0,3,32,0,9,0,13,19,11,19,21,6,27,17,8,123,18,61,12,63,20,4,7
,CIRRHOSIS: METABOLIC DYSFUNCTION AND ALCOHOL-RELATED/ASSOCIATED LIVER DISEASE (METALD),,274,1,4,16,16,3,17,2,3,2,11,7,4,2,0,0,13,4,1,3,23,9,2,7,8,0,8,1,0,0,2,0,0,0,1,8,0,4,0,1,5,2,4,4,2,12,0,1,21,7,14,2,11,2,5,1
,Biliary Hypoplasia: Nonsyndromic Paucity Of Intra,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bronchiectasis,,13,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,Bronchopulmonary Dysplasia,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Budd-Chiari Syndrome,,47,1,0,0,3,0,6,0,4,1,3,1,1,0,0,1,0,1,1,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0
,Calcineurin Inhibitor Nephrotoxicity,,794,4,1,16,21,1,49,6,1,3,9,14,12,16,1,3,31,4,13,3,105,19,26,40,19,0,6,7,63,2,13,0,1,0,4,49,1,29,0,2,6,6,30,38,0,5,18,1,25,4,17,10,12,11,15,14
,Ahn: Drug Other Specify,,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cancer Chemotherapy Induced Nephritis,,93,0,1,2,3,2,6,4,1,0,0,2,0,0,0,0,4,1,1,2,4,4,3,2,5,0,3,0,2,0,5,2,1,2,2,2,3,1,0,0,0,1,4,1,0,2,2,1,7,2,2,2,2,0,0,0
,Choles Liver Disease: Other Specify,,13,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
,Cholesterol Embolization,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chronic Glomerulonephritis Unspecified,,"1,000",2,1,22,64,15,166,69,11,6,14,10,12,21,10,7,17,17,15,10,45,18,14,14,13,3,16,12,23,1,27,7,1,1,6,85,1,6,0,6,5,20,39,8,18,7,18,1,12,37,19,14,10,5,8,4
,Chronic Glomerulosclerosis Unspecified,,183,0,0,4,8,5,18,3,2,3,3,1,3,4,1,2,1,0,3,3,23,7,2,3,7,1,5,2,2,0,1,1,1,0,2,20,3,2,0,2,1,1,15,0,3,0,1,0,2,2,1,2,3,4,1,0
,Chronic Nephrosclerosis-Unspecified,,89,0,0,2,3,0,10,3,3,3,1,1,1,10,0,1,4,2,1,0,5,2,0,5,1,2,0,1,3,0,0,0,1,0,3,0,0,1,1,0,2,2,6,0,1,0,0,0,1,1,0,0,1,5,0,0
,Chronic Pyelonephritis/Reflux Nephropath,,343,1,2,8,25,13,18,4,8,3,2,2,16,1,0,3,7,7,5,0,21,10,10,10,4,0,6,4,5,1,6,3,2,1,9,24,2,1,0,5,5,8,19,2,1,0,4,1,8,7,8,7,5,12,6,5
,
,Cirrhosis: Autoimmune,,243,0,1,6,14,1,30,8,4,2,5,4,4,3,1,1,4,2,4,5,13,15,1,1,1,2,5,1,0,3,4,0,0,0,1,13,0,1,0,2,6,5,11,0,3,4,2,0,23,2,10,1,8,3,2,3
,Ahn: Etiology Unknown,,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Cirrhosis: Chronic Active Hepatitis: Etiology Unk,,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Cryptogenic (Idiopathic),,213,4,0,2,7,0,36,6,4,2,9,1,2,5,1,0,7,2,3,3,5,16,5,5,0,1,3,1,2,1,2,0,0,0,0,12,0,3,0,1,1,1,3,3,3,0,5,0,7,6,20,3,5,5,1,1
,Cirrhosis: Drug/Indust Exposure Other Specify,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
,Cirrhosis: Fatty Liver (Nash),,362,8,0,7,18,0,47,0,6,0,8,0,0,7,1,0,6,3,11,6,15,41,6,3,2,4,14,0,0,1,5,0,0,0,1,7,0,2,0,7,4,1,19,9,1,2,1,3,46,7,24,1,1,5,2,0
,"Cirrhosis: Other, Specify (E.G., Histiocytosis, S",,100,1,0,3,12,0,2,0,0,1,2,1,0,0,0,0,2,0,3,3,4,4,1,4,0,0,5,0,0,1,1,0,0,0,1,6,0,2,0,2,0,0,3,1,0,1,2,0,9,3,7,3,8,1,1,0
,Cirrhosis: Type A,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type B. And C,,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Cirrhosis: Type B. And D,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type B- Hbsag+,,91,0,0,0,18,0,9,0,0,1,0,1,0,2,0,1,7,1,0,5,2,11,3,3,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,2,0,0,2,0,0,5,3,1,0,3,0,0,0
,"Ahn: Other, Specify (E.G., Acute Viral Infection,",,30,6,0,1,2,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,4,2,0,0,2,0,1,0
,Cirrhosis: Type C,,323,3,0,3,35,0,47,0,5,1,7,0,3,4,1,0,4,8,4,5,19,28,2,2,4,1,5,1,1,1,4,0,0,0,0,8,0,1,0,0,4,2,13,12,4,6,2,0,32,16,11,2,11,0,1,2
,Cirrhosis: Type D,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Common Variable Immune Deficiency,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congenital Heart Defect -. Prior Surgery Unknown,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congenital Heart Defect -. With Surgery,,522,4,2,8,19,0,36,12,10,0,4,24,2,9,0,1,25,8,18,1,19,12,11,26,11,0,9,6,11,6,0,0,0,0,1,15,0,19,0,16,5,0,27,13,1,10,10,4,29,4,32,13,14,7,7,2
,Congenital Heart Defect -. Without Surgery,,38,1,1,1,2,0,1,0,2,0,0,1,0,0,0,2,2,1,0,1,2,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,1,1,1,1,3,1,0,0,1,0
,Congenital Hepatic Fibrosis,,25,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,0,3,1,1,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Congenital Malformation,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congenital Obstructive Uropathy,,625,3,3,17,51,8,54,13,11,5,2,8,10,27,1,2,19,6,4,5,31,19,18,20,8,1,15,11,9,4,20,2,1,5,5,43,3,6,0,4,12,6,19,7,1,7,7,3,9,27,15,8,15,9,8,4
,RETRANSPLANT/GRAFT FAILURE,,41,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,1,1,0,0,1,3,1,10,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,1
,Constrictive Bronchiolitis,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Copd/Emphysema,,214,1,0,5,11,0,3,0,2,2,0,3,1,1,0,1,7,1,5,0,12,9,24,11,10,0,0,0,2,1,1,0,0,0,0,19,0,8,0,4,1,0,33,6,0,0,2,0,7,2,2,3,3,10,1,2
,Coronary Artery Disease,,72,0,0,0,1,0,2,3,2,0,0,1,1,1,0,0,3,13,1,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,2,1,0,0,0,0,2,0,0,13,1,3,0,2,0,0,0
,Cortical Necrosis,,39,0,0,0,3,1,1,0,1,2,0,2,0,0,0,1,4,1,0,1,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,1,1,0,3,1,0,0,1,2,1,0
,Crest -. Pulmonary Hypertension,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cystic Fibrosis,,17,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,1,0,2,0,2,0,0,0,0,0
,Ahn: Type B. And C,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RETRANSPLANT,,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Cystinosis,,35,2,1,0,2,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,1,1,0,1,2,0,0,0,1,1,0,0,0,2
,Diabetes -. Type I. Insulin Dep/Juv Onset,,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
,Diabetes -. Type II Insulin Dep/Adult Ons,,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes -. Type II Non-Insulin Dep/Adult,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type I,,"3,830",38,14,70,187,28,241,44,66,33,69,61,40,105,5,42,166,46,80,134,240,87,93,147,91,14,55,72,89,12,83,15,19,13,49,154,18,61,5,41,27,42,138,56,33,87,106,23,120,95,115,61,112,84,38,45
,Diabetes Mellitus -. Type I,,357,1,0,2,30,0,12,3,4,3,0,4,0,1,0,1,41,1,7,3,20,11,8,41,0,0,0,5,3,1,10,0,0,2,4,53,1,3,0,0,0,3,15,13,0,4,6,2,8,7,2,3,9,3,2,8
,Diabetes Mellitus -. Type II,,"32,118",267,76,823,"2,278",714,"3,201",660,405,152,542,464,532,"1,069",155,129,"1,433",325,439,620,"1,380",955,696,597,417,180,357,478,692,84,810,210,98,37,192,"1,821",50,233,16,203,184,301,"1,105",500,159,657,717,277,"1,324","1,498","1,434",253,754,364,194,164
,Diabetes Mellitus -. Type II,,87,1,0,0,6,0,11,0,0,0,1,2,0,0,0,0,5,0,0,1,1,1,0,21,0,0,0,6,0,0,4,0,0,0,0,7,0,0,2,0,0,0,0,1,0,8,0,0,3,1,2,0,2,0,2,0
,Diabetes Mellitus -. Type Other /. Unknown,,211,0,1,0,9,1,20,1,1,3,1,2,1,5,0,3,5,1,0,7,15,2,3,3,0,3,2,0,0,1,5,1,32,1,6,14,0,2,0,1,1,3,4,9,1,7,2,2,10,2,6,1,3,6,1,1
,Ahn: Type B. And D,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,IIP: DESQUAMATIVE INTERSTITIAL PNEUMONIA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,
,Diabetes Mellitus -. Type Other /. Unknown,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Secondary To Chronic Pancreatitis Withou,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Secondary To Cystic Fibrosis Without Pan,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Dilated Myopathy: Adriamycin,,20,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,2
,Dilated Myopathy: Alcoholic,,15,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,Dilated Myopathy: Familial,,151,0,4,3,5,2,4,2,1,0,1,4,0,5,0,0,7,6,1,0,14,6,3,8,1,0,2,3,3,1,0,0,0,0,2,12,0,4,0,1,4,4,2,2,0,7,2,0,3,2,1,6,4,4,4,1
,Dilated Myopathy: Idiopathic,,"1,272",1,8,12,27,0,51,15,9,37,20,26,25,97,0,3,68,19,30,27,56,64,16,30,11,3,15,12,50,0,23,0,0,0,8,108,0,27,0,17,9,7,47,6,1,6,43,11,96,14,42,10,36,10,21,6
,Dilated Myopathy: Ischemic,,903,0,5,20,19,3,50,17,8,18,22,23,22,31,0,6,52,14,26,10,41,16,24,21,14,3,13,10,23,14,10,0,0,0,8,75,0,37,0,7,11,5,28,11,3,25,23,7,28,23,27,14,20,8,15,1
,Dilated Myopathy: Myocarditis,,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0,1,0,0
,Dilated Myopathy: Other Specify,,469,13,3,13,4,1,19,2,5,0,19,21,1,4,0,1,20,17,6,0,8,8,41,12,4,2,2,3,2,20,4,0,0,0,6,37,0,52,0,1,1,9,3,16,1,26,2,0,9,15,19,6,2,6,1,3
Acute Hepatic Necrosis,All Diagnosis,,56,6,0,1,3,0,12,1,1,0,3,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,2,1,1,0,0,0,5,2,0,0,2,1,2,0
,Ahn: Type B- Hbsag+,,10,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
,Ahn: Type C,,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ahn: Drug Other Specify,,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ahn: Etiology Unknown,,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,"Ahn: Other, Specify (E.G., Acute Viral Infection,",,30,6,0,1,2,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,4,2,0,0,2,0,1,0
,Ahn: Type B. And C,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ahn: Type B. And D,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alpha-1 - Antitrypsin Deficiency,All Diagnosis,,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
,Alpha -. 1. -. Antitrypsin Deficiency,,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Benign Neoplasms,All Diagnosis,,77,1,0,0,4,0,8,1,1,0,4,1,3,1,1,0,1,1,1,1,6,2,0,3,0,0,1,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,1,1,1,1,1,0,14,1,1,0,3,0,0,0
,Benign Tumor: Hepatic Adenoma,,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
,Benign Tumor: Other Specify,,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Benign Tumor: Polycystic Liver Disease,,62,1,0,0,3,0,6,1,1,0,3,1,3,1,1,0,1,0,0,1,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,1,1,1,0,0,12,1,0,0,3,0,0,0
Biliary Atresia,All Diagnosis,,158,2,0,1,11,0,28,5,0,7,5,0,0,4,2,0,6,1,3,2,6,6,3,2,2,0,3,0,1,1,0,0,0,0,0,11,0,0,0,5,0,0,12,3,0,0,4,1,7,3,3,2,0,3,3,0
,"Biliary Atresia Or Hypoplasia: Other, Specify",,36,1,0,0,4,0,3,3,0,0,1,0,0,1,2,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,3,0,4,0,1,2,0,0,0,0
,Biliary Atresia: Extrahepatic,,105,1,0,1,5,0,21,1,0,7,3,0,0,2,0,0,4,1,3,0,6,3,2,2,2,0,1,0,1,1,0,0,0,0,0,8,0,0,0,3,0,0,11,1,0,0,1,1,2,3,2,0,0,3,3,0
,Biliary Hypoplasia: Alagille’s Syndrome (Paucity,,16,0,0,0,2,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
,Biliary Hypoplasia: Nonsyndromic Paucity Of Intra,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiomyopathy,All Diagnosis,,"2,073",14,16,33,37,4,80,25,21,42,43,62,23,96,0,7,110,49,44,29,94,81,73,55,17,6,19,25,61,18,27,0,0,0,16,174,0,94,0,20,16,22,54,19,2,47,46,11,125,28,64,35,45,24,31,10
,Dilated Myopathy: Post Partum,,33,0,1,0,0,0,2,1,1,0,0,1,0,4,0,0,4,1,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0
,Heart Re-Tx/Gf: Coronary Artery Disease,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Non-Specific,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
