,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
PALV-TX1 Lehigh Valley Hospital,,167,34,2,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,1,1,0,9,11,1,2,0,0,1,0,0,0,4,0,0,6,2,23,4,4,3,1,1,0,33,8,0,0,1,0,0,0,1,0,6,0,0,2
PAPH-TX1 UPMC Hamot,,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PAPT-TX1 University of Pittsburgh Medical Center,,414,166,2,0,0,0,0,0,0,3,0,3,3,2,8,0,1,4,7,7,4,5,8,8,2,2,1,1,1,2,1,2,0,0,1,1,1,4,23,6,12,3,0,21,77,2,2,5,0,0,0,2,0,6,1,1,3
PASC-TX1 St. Christopher's Hospital for Children,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PATJ-TX1 Thomas Jefferson University Hospital,,211,27,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,1,1,0,18,4,2,1,0,2,2,2,2,0,12,0,0,5,2,19,6,3,4,3,0,0,58,11,1,5,2,0,0,0,1,0,7,1,1,1
PATU-TX1 Temple University Hospital,,252,22,0,1,1,0,0,2,1,1,3,12,3,8,4,0,1,8,8,3,8,12,10,2,4,4,2,9,5,2,1,7,0,6,1,0,6,3,2,1,1,2,4,35,8,1,6,1,2,5,1,11,1,9,1,0,1
PAUP-TX1 Hospital of the University of Pennsylvania,,631,108,1,0,2,1,0,0,0,1,1,2,0,2,5,0,0,4,5,5,0,44,38,6,1,3,0,1,9,3,0,45,0,0,15,6,46,9,6,5,5,0,0,193,23,0,9,5,0,2,1,2,0,13,3,1,0
PAVA-TX1 VA Pittsburgh Healthcare System,,59,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,1,2,0,0,1,24,0,1,0,0,0,0,1,0,1,0,0,1
PRCC-TX1 Cardiovascular Center of Puerto Rico and the Caribbean,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PRSJ-TX1 Auxilio Mutuo Hospital,,101,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,1,0,0,0,0,0,1,0,0,0
RIRH-TX1 Rhode Island Hospital,,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SCCH-TX1 MUSC Children's Hospital,,14,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
SCLA-TX1 MUSC Lancaster,,117,0,1,2,1,0,0,0,0,1,0,0,5,1,23,0,1,0,0,2,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,15,0,0,0,0,0,3,0,0,0
SCMU-TX1 Medical University of South Carolina,,677,65,7,0,0,1,1,1,0,2,12,11,46,15,106,0,0,1,3,6,4,6,10,2,1,5,3,2,38,75,2,0,0,1,1,0,1,0,1,1,5,2,2,8,7,3,184,13,1,9,3,4,0,5,0,1,0
SCPG-TX1 Prisma Health Greenville Memorial Hospital,,142,13,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,5,0,1,0,1,1,0,0,0,12,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,26,30,1,2,0,0,0,3,0,1,0
SDMK-TX1 Avera McKennan Hospital,,25,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SDSV-TX1 Sanford Health/USD Medical Center,,25,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TNBM-TX1 Baptist Memorial Hospital,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
TNEM-TX1 Erlanger Medical Center,,29,3,4,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
TNLB-TX1 Le Bonheur Children's Medical Center,,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0
TNMH-TX1 Methodist University Hospital,,227,17,10,30,0,2,0,2,0,1,0,0,2,0,3,0,0,3,6,3,4,2,1,0,0,34,7,4,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,3,34,43,3,1,2,0,0,0,0,0
TNST-TX1 Saint Thomas Hospital,,201,16,12,1,0,0,1,0,0,6,1,0,4,0,17,0,1,4,12,25,6,0,1,3,2,8,0,3,1,3,0,0,0,0,0,0,0,0,2,4,1,0,0,0,1,1,2,49,6,1,3,1,0,0,2,1,0
TNUK-TX1 University of Tennessee Medical Center at Knoxville,,73,19,0,0,2,0,0,0,0,1,1,0,0,0,3,0,0,2,1,6,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,25,0,0,0,0,0,0,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,,960,67,37,18,6,3,3,6,2,16,3,2,12,8,42,0,8,39,72,56,22,8,4,13,3,58,8,11,10,16,1,4,5,5,2,1,4,4,1,13,6,15,4,12,14,0,11,208,18,10,9,12,7,7,13,7,14
TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,,132,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,33,12,31,0,0,0,0,0
"TXBC-TX1 University Hospital, University of Texas Health Science Center",,408,120,2,3,2,7,0,2,1,5,2,2,0,4,3,2,0,0,2,1,6,1,0,0,3,0,2,6,0,0,0,0,1,2,0,0,1,0,0,1,0,9,2,2,1,1,0,2,1,41,99,61,2,0,5,1,0
TXCF-TX1 Cook Children's Medical Center,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
TXCM-TX1 Children's Medical Center of Dallas,,60,4,0,6,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,8,7,10,0,0,1,0,0
TXCT-TX1 Seton Medical Center Austin,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TXDC-TX1 Driscoll Children's Hospital,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0
TXDL-TX1 Dell Children's Medical Center,,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0
TXDM-TX1 North Austin Medical Center,,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0
TXDR-TX1 Doctor's Hospital at Renaissance,,101,11,0,1,0,3,0,2,0,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,2,0,0,3,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,4,31,25,1,0,2,0,0
TXDS-TX1 Dell Seton Medical Center at The University of Texas at Austin,,30,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
TXFW-TX1 Texas Health Harris Methodist Fort Worth Hospital,,71,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,27,4,6,0,0,0,0,0
TXHD-TX1 Medical City Dallas Hospital,,303,85,0,25,0,0,0,0,0,2,0,0,0,0,1,0,3,2,2,1,10,0,0,2,0,0,6,5,0,0,1,0,0,0,1,0,0,0,0,3,0,36,1,0,0,0,0,0,0,41,14,59,0,0,2,0,1
"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",,52,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,6,10,0,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,406,32,11,3,3,6,2,5,1,9,1,3,9,0,3,0,1,6,7,2,44,2,2,1,0,2,6,6,0,2,2,2,0,3,1,0,1,0,0,0,0,9,1,4,0,0,1,0,7,105,34,62,2,0,3,0,0
TXHS-TX1 Methodist Specialty and Transplant Hospital,,489,168,0,3,5,0,1,2,0,4,1,0,1,1,1,0,0,1,1,0,8,3,1,0,0,1,2,10,1,1,0,1,1,1,0,0,2,0,0,0,0,9,2,2,3,0,0,1,0,49,116,81,2,0,3,0,0
TXJS-TX1 University of Texas Medical Branch at Galveston,,94,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,20,11,8,0,0,1,0,0
TXLM-TX1 Covenant Medical Center,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
TXLP-TX1 Las Palmas Medical Center,,52,11,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0
TXMC-TX1 Methodist Dallas Medical Center,,224,22,0,3,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,8,1,1,0,0,3,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,32,0,0,1,0,0,2,1,42,17,76,0,0,1,0,0
TXMH-TX1 Houston Methodist Hospital,,838,149,18,20,7,4,1,5,1,7,1,3,11,8,1,0,1,3,4,1,75,4,0,3,3,5,13,10,2,4,2,2,7,3,1,0,0,1,2,1,0,23,0,2,7,6,1,8,5,194,75,124,1,2,6,1,0
TXPL-TX1 Medical City Fort Worth,,100,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,38,2,20,0,1,2,0,0
TXPM-TX1 Parkland Health and Hospital System,,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,,458,49,5,13,3,1,1,2,0,2,3,1,1,1,2,0,0,3,1,2,14,4,1,1,0,3,1,15,0,1,4,1,1,3,0,0,1,0,0,0,0,43,4,2,0,0,0,3,2,105,24,125,1,0,5,3,1
TXSW-TX1 Scott and White Memorial Hospital,,101,16,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,1,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,13,18,31,0,0,0,0,0
TXTC-TX1 Texas Children's Hospital,,144,11,2,3,0,2,0,1,0,0,0,0,3,1,1,0,0,0,0,1,17,0,0,1,0,1,3,1,1,2,0,1,0,2,0,1,0,0,2,0,0,7,0,1,1,0,0,1,1,29,19,26,1,0,1,0,0
TXTX-TX1 Baylor University Medical Center,,533,133,3,13,16,4,3,6,1,5,1,3,0,2,4,0,0,3,3,2,12,0,1,3,6,2,2,5,3,0,1,1,1,4,0,0,1,1,0,0,1,48,0,2,0,0,1,4,1,71,24,131,2,0,2,0,1
TXUC-TX1 University Children's Health,,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0
TXVA-TX1 Michael E. DeBakey VA Medical Center,,52,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,8,16,0,1,0,0,0
UTLD-TX1 Intermountain Medical Center,,515,77,0,0,25,16,14,13,1,34,0,0,0,0,0,7,3,1,3,1,0,1,0,0,2,0,1,7,0,0,0,1,11,31,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,2,202,0,40,0,1
UTMC-TX1 University of Utah Medical Center,,316,59,0,0,15,10,1,11,1,18,0,0,0,0,0,1,0,2,0,0,1,0,0,4,2,0,0,5,0,0,0,0,5,9,0,1,0,0,0,1,0,1,9,0,1,0,0,1,0,2,1,4,134,0,16,0,1
UTPC-TX1 Primary Children's Hospital,,51,13,0,0,1,0,3,2,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,11,0,0,0,0
VACH-TX1 Children's Hospital of the King's Daughters,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAFH-TX1 Inova Fairfax Hospital,,286,44,3,0,1,0,0,3,0,0,2,4,1,1,11,0,3,5,3,5,0,9,23,3,1,0,3,2,2,5,1,15,0,0,3,0,25,2,3,1,0,0,0,54,18,0,6,6,0,1,1,3,0,12,0,1,0
VAHD-TX1 Henrico Doctors' Hospital,,37,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,1,0,0,10,0,0,0
"VAMC-TX1 VCU Health System Authority, VCUMC",,556,66,5,5,0,0,0,0,0,3,2,1,3,1,15,0,0,2,12,12,3,8,44,5,1,0,0,4,27,58,0,15,4,1,9,1,10,2,7,4,6,1,0,42,36,1,17,16,1,3,1,0,1,99,0,0,2
VANG-TX1 Sentara Norfolk General Hospital,,117,24,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,2,1,1,2,9,1,0,0,1,2,9,18,0,2,0,0,0,0,0,2,0,2,0,0,0,8,0,0,1,2,0,1,0,0,0,23,0,0,0
VAUV-TX1 University of Virginia Health Sciences Center,,370,37,4,1,0,0,1,0,0,0,1,0,6,1,12,0,1,6,6,9,2,5,19,1,2,0,0,3,16,26,0,8,1,0,1,2,4,2,12,2,17,0,0,32,35,2,12,7,1,2,1,5,0,63,0,1,1
VTMC-TX1 The University of Vermont Medical Center,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WACH-TX1 Seattle Children's Hospital,,52,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,22,0,0
WASH-TX1 Providence Sacred Heart Medical Center & Children's Hospital,,91,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,47,0,0
WASM-TX1 Swedish Medical Center,,235,19,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,2,0,174,0,0
WAUW-TX1 University of Washington Medical Center,,443,48,0,0,2,8,6,10,5,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10,0,0,0,0,0,0,0,0,73,0,1,0,0,0,0,1,0,0,2,0,270,0,0
WAVM-TX1 Virginia Mason Medical Center,,101,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,57,0,0
WICH-TX1 Children's Hospital of Wisconsin,,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
WISE-TX1 Froedtert Memorial Lutheran Hospital,,299,73,0,0,0,1,0,0,0,2,1,0,0,2,1,0,3,39,14,4,0,2,0,29,14,3,0,6,2,1,4,1,1,0,0,1,0,0,1,5,2,1,0,2,1,0,1,12,0,3,0,3,0,2,3,35,24
WISL-TX1 Aurora St. Luke's Medical Center,,106,24,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7,20,6,1,1,0,0,7,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,11,15
WIUW-TX1 University of Wisconsin Hospital and Clinics,,539,101,1,3,2,1,0,1,4,6,1,3,0,2,7,0,34,58,32,5,3,2,0,15,60,8,1,12,2,0,3,1,0,2,0,1,2,0,3,4,5,1,1,4,4,0,1,4,3,7,1,2,1,3,2,34,86
WVCA-TX1 Charleston Area Medical Center,,82,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,11,0,0,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,2,5,1,0,3,23,0,1,3,0,0,0,1,0,4,0,0,0
WVWU-TX1 West Virginia University Hospitals Inc.,,21,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
