,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
SCLA-TX1 MUSC Lancaster,,117,0,1,2,1,0,0,0,0,1,0,0,5,1,23,0,1,0,0,2,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,15,0,0,0,0,0,3,0,0,0
SCMU-TX1 Medical University of South Carolina,,382,65,1,0,0,1,1,1,0,2,6,1,33,4,65,0,0,1,1,0,1,5,1,2,0,3,0,0,25,43,0,0,0,1,1,0,1,0,0,1,0,0,2,1,1,2,98,4,0,3,2,0,0,2,0,1,0
SCPG-TX1 Prisma Health Greenville Memorial Hospital,,116,13,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5,0,1,0,1,1,0,0,0,10,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,24,0,2,0,0,0,1,0,1,0
SDMK-TX1 Avera McKennan Hospital,,25,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SDSV-TX1 Sanford Health/USD Medical Center,,25,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TNEM-TX1 Erlanger Medical Center,,29,3,4,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
TNLB-TX1 Le Bonheur Children's Medical Center,,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
TNMH-TX1 Methodist University Hospital,,170,17,6,20,0,2,0,2,0,1,0,0,0,0,2,0,0,1,4,2,3,2,1,0,0,32,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1,27,30,2,1,0,0,0,0,0,0
TNST-TX1 Saint Thomas Hospital,,164,16,8,0,0,0,1,0,0,6,1,0,0,0,14,0,0,2,9,23,4,0,1,1,1,8,0,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,2,48,6,0,1,1,0,0,2,0,0
TNUK-TX1 University of Tennessee Medical Center at Knoxville,,73,19,0,0,2,0,0,0,0,1,1,0,0,0,3,0,0,2,1,6,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,25,0,0,0,0,0,0,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,,385,66,20,4,1,0,1,3,1,3,0,0,3,1,15,0,1,12,47,32,3,2,0,4,1,32,1,1,8,1,1,2,0,0,0,0,0,0,0,9,1,1,1,2,1,0,3,73,11,2,1,0,2,0,4,1,7
TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,,73,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,19,7,15,0,0,0,0,0
"TXBC-TX1 University Hospital, University of Texas Health Science Center",,201,46,2,0,2,7,0,1,1,5,2,1,0,3,0,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,1,1,0,1,1,28,53,26,2,0,5,0,0
TXCF-TX1 Cook Children's Medical Center,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
TXCM-TX1 Children's Medical Center of Dallas,,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0
TXDC-TX1 Driscoll Children's Hospital,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0
TXDM-TX1 North Austin Medical Center,,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0
TXDR-TX1 Doctor's Hospital at Renaissance,,101,11,0,1,0,3,0,2,0,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,2,0,0,3,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,4,31,25,1,0,2,0,0
TXDS-TX1 Dell Seton Medical Center at The University of Texas at Austin,,30,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
TXFW-TX1 Texas Health Harris Methodist Fort Worth Hospital,,71,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,27,4,6,0,0,0,0,0
TXHD-TX1 Medical City Dallas Hospital,,235,85,0,23,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,1,6,0,0,2,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,3,0,32,1,0,0,0,0,0,0,25,10,30,0,0,2,0,1
"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,153,32,2,0,1,1,1,1,0,1,0,0,1,0,0,0,0,2,1,0,24,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,12,27,0,0,0,0,0
TXHS-TX1 Methodist Specialty and Transplant Hospital,,344,168,0,1,2,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,2,2,3,0,0,1,0,23,70,48,2,0,3,0,0
TXJS-TX1 University of Texas Medical Branch at Galveston,,90,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,10,8,0,0,1,0,0
TXLM-TX1 Covenant Medical Center,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
TXLP-TX1 Las Palmas Medical Center,,52,11,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0
TXMC-TX1 Methodist Dallas Medical Center,,152,22,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,2,0,32,11,41,0,0,1,0,0
TXMH-TX1 Houston Methodist Hospital,,329,134,2,1,3,1,1,1,1,2,0,0,1,5,0,0,1,0,1,0,29,0,0,0,0,0,1,3,0,2,1,0,1,1,0,0,0,0,1,1,0,4,0,0,3,0,0,2,1,61,24,39,0,0,1,0,0
TXPL-TX1 Medical City Fort Worth,,96,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,36,2,18,0,1,2,0,0
TXPM-TX1 Parkland Health and Hospital System,,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,,212,45,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,29,0,1,0,0,0,0,0,46,13,48,0,0,0,2,0
TXSW-TX1 Scott and White Memorial Hospital,,69,16,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,10,20,0,0,0,0,0
TXTC-TX1 Texas Children's Hospital,,56,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,11,8,15,0,0,0,0,0
TXTX-TX1 Baylor University Medical Center,,268,114,1,5,4,1,0,1,0,1,0,0,0,2,1,0,0,2,0,0,3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,30,0,0,0,0,0,1,0,28,12,55,0,0,1,0,0
TXUC-TX1 University Children's Health,,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,0,0,0
TXVA-TX1 Michael E. DeBakey VA Medical Center,,34,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,3,12,0,1,0,0,0
UTLD-TX1 Intermountain Medical Center,,252,74,0,0,5,3,1,3,0,15,0,0,0,0,0,1,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,105,0,19,0,1
UTMC-TX1 University of Utah Medical Center,,175,59,0,0,2,2,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,95,0,4,0,0
UTPC-TX1 Primary Children's Hospital,,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0
VACH-TX1 Children's Hospital of the King's Daughters,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAFH-TX1 Inova Fairfax Hospital,,188,43,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,2,1,3,0,4,15,0,0,0,1,0,1,2,0,12,0,0,0,0,20,1,2,0,0,0,0,49,13,0,2,1,0,1,1,2,0,7,0,0,0
VAHD-TX1 Henrico Doctors' Hospital,,37,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,1,0,0,10,0,0,0
"VAMC-TX1 VCU Health System Authority, VCUMC",,315,40,1,5,0,0,0,0,0,3,1,1,1,1,1,0,0,1,3,4,3,2,29,1,1,0,0,3,21,34,0,5,4,1,3,0,3,0,3,2,3,1,0,29,25,1,9,3,0,2,1,0,1,62,0,0,1
VANG-TX1 Sentara Norfolk General Hospital,,96,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,7,1,0,0,1,1,8,16,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2,0,1,0,0,0,21,0,0,0
VAUV-TX1 University of Virginia Health Sciences Center,,196,29,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,3,0,0,10,0,0,0,0,0,11,17,0,4,1,0,0,1,0,0,9,0,14,0,0,18,25,1,10,2,1,0,0,0,0,31,0,1,1
VTMC-TX1 The University of Vermont Medical Center,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WACH-TX1 Seattle Children's Hospital,,25,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0
WASH-TX1 Providence Sacred Heart Medical Center & Children's Hospital,,85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1,0,43,0,0
WASM-TX1 Swedish Medical Center,,131,19,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,1,0,85,0,0
WAUW-TX1 University of Washington Medical Center,,194,39,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,1,0,0,0,0,124,0,0
WAVM-TX1 Virginia Mason Medical Center,,100,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,57,0,0
WICH-TX1 Children's Hospital of Wisconsin,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WISE-TX1 Froedtert Memorial Lutheran Hospital,,176,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22,10,0,0,1,0,19,8,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,17,10
WISL-TX1 Aurora St. Luke's Medical Center,,73,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,14,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,10
WIUW-TX1 University of Wisconsin Hospital and Clinics,,285,95,0,2,0,0,0,1,0,0,0,0,0,1,0,0,23,31,15,2,1,0,0,7,37,2,0,0,1,0,2,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,2,3,2,1,0,1,0,0,14,37
WVCA-TX1 Charleston Area Medical Center,,82,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,11,0,0,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,2,5,1,0,3,23,0,1,3,0,0,0,1,0,4,0,0,0
WVWU-TX1 West Virginia University Hospitals Inc.,,13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
